shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M1000102,40.871986,-73.913182,10001
M1000102,40.872322,-73.912749,10002
M1000102,40.872962,-73.911999,10003
M1000102,40.872722,-73.911589,10004
M1000102,40.872512,-73.911389,10005
M1000102,40.872282,-73.911219,10006
M1000102,40.872032,-73.911069,10007
M1000102,40.871972,-73.911059,10008
M1000102,40.871872,-73.911069,10009
M1000102,40.871642,-73.911239,10010
M1000102,40.871022,-73.911689,10011
M1000102,40.870372,-73.912159,10012
M1000102,40.869442,-73.912849,10013
M1000102,40.868762,-73.913339,10014
M1000102,40.869532,-73.915169,10015
M1000102,40.868975,-73.915599,10016
M1000102,40.868975,-73.915599,20001
M1000102,40.868872,-73.915679,20002
M1000102,40.868242,-73.916139,20003
M1000102,40.867622,-73.916589,20004
M1000102,40.867058,-73.917023,20005
M1000102,40.867058,-73.917023,30001
M1000102,40.867012,-73.917059,30002
M1000102,40.866822,-73.917179,30003
M1000102,40.865742,-73.917979,30004
M1000102,40.865562,-73.918119,30005
M1000102,40.865132,-73.918429,30006
M1000102,40.864743,-73.918713,30007
M1000102,40.864743,-73.918713,40001
M1000102,40.864462,-73.918919,40002
M1000102,40.863932,-73.919299,40003
M1000102,40.863792,-73.919399,40004
M1000102,40.863482,-73.919629,40005
M1000102,40.863402,-73.919839,40006
M1000102,40.863212,-73.920339,40007
M1000102,40.863112,-73.920609,40008
M1000102,40.862992,-73.920539,40009
M1000102,40.862592,-73.920289,40010
M1000102,40.861922,-73.920779,40011
M1000102,40.861652,-73.920979,40012
M1000102,40.861372,-73.921189,40013
M1000102,40.861302,-73.921239,40014
M1000102,40.861198,-73.921311,40015
M1000102,40.861198,-73.921311,50001
M1000102,40.860942,-73.921489,50002
M1000102,40.860682,-73.921669,50003
M1000102,40.860222,-73.921999,50004
M1000102,40.860102,-73.922079,50005
M1000102,40.859692,-73.922369,50006
M1000102,40.858802,-73.922969,50007
M1000102,40.859012,-73.923099,50008
M1000102,40.859269,-73.923262,50009
M1000102,40.859269,-73.923262,60001
M1000102,40.859312,-73.923289,60002
M1000102,40.859922,-73.923679,60003
M1000102,40.860572,-73.924089,60004
M1000102,40.860902,-73.924299,60005
M1000102,40.861402,-73.924619,60006
M1000102,40.861522,-73.924689,60007
M1000102,40.861525,-73.924691,60008
M1000102,40.861525,-73.924691,70001
M1000102,40.861582,-73.924729,70002
M1000102,40.862582,-73.925379,70003
M1000102,40.863473,-73.925952,70004
M1000102,40.863473,-73.925952,80001
M1000102,40.863562,-73.926009,80002
M1000102,40.864532,-73.926629,80003
M1000102,40.865522,-73.927239,80004
M1000102,40.865262,-73.927759,80005
M1000102,40.865111,-73.928044,80006
M1000102,40.865111,-73.928044,90001
M1000102,40.865072,-73.928119,90002
M1000102,40.864952,-73.928349,90003
M1000102,40.864732,-73.928749,90004
M1000102,40.864662,-73.928879,90005
M1000102,40.864502,-73.929119,90006
M1000102,40.864382,-73.929259,90007
M1000102,40.864242,-73.929419,90008
M1000102,40.863882,-73.929779,90009
M1000102,40.863772,-73.929869,90010
M1000102,40.863562,-73.929969,90011
M1000102,40.863482,-73.929989,90012
M1000102,40.863481,-73.929989,90013
M1000102,40.863481,-73.929989,100001
M1000102,40.863412,-73.930009,100002
M1000102,40.863342,-73.930019,100003
M1000102,40.863242,-73.930029,100004
M1000102,40.863092,-73.930029,100005
M1000102,40.862722,-73.929969,100006
M1000102,40.862592,-73.929949,100007
M1000102,40.862462,-73.929949,100008
M1000102,40.862222,-73.929979,100009
M1000102,40.862002,-73.930029,100010
M1000102,40.861852,-73.930079,100011
M1000102,40.861718,-73.930143,100012
M1000102,40.861718,-73.930143,110001
M1000102,40.861602,-73.930199,110002
M1000102,40.861012,-73.930539,110003
M1000102,40.860832,-73.930649,110004
M1000102,40.860642,-73.930759,110005
M1000102,40.860452,-73.930869,110006
M1000102,40.860222,-73.930979,110007
M1000102,40.859732,-73.931165,110008
M1000102,40.859732,-73.931165,120001
M1000102,40.859672,-73.931189,120002
M1000102,40.859292,-73.931339,120003
M1000102,40.858842,-73.931529,120004
M1000102,40.858522,-73.931679,120005
M1000102,40.858252,-73.931829,120006
M1000102,40.857832,-73.932059,120007
M1000102,40.856692,-73.932629,120008
M1000102,40.856482,-73.932739,120009
M1000102,40.856292,-73.932849,120010
M1000102,40.856183,-73.932906,120011
M1000102,40.856183,-73.932906,130001
M1000102,40.855742,-73.933139,130002
